Signal,Mean (µV),RMS (µV),MRS (µV),Zero Crossings,Frequency (Hz),Delta (µV² /Hz),Theta (µV² /Hz),Alpha (µV² /Hz),Beta (µV² /Hz),Gamma (µV² /Hz),Skewness,Variance,Kurtosis,Hjorth Mobility,Hjorth Complexity,Spectral Entropy,Hurst Component,Label
e2.5,966.493514,1574.369495,1126.527739,9,4.5,111.7125477,1.594603076,1.476589213,1.582341972,0.3462948068,0.574554513,7420.2154,-0.2164656425,0.008013097235,270.6904129,0.1330641829,0.807149442,0
e2.6,150.845119,551.673269,494.426879,5,2.5,25.31635462,0.9398456116,0.9027711185,1.258869976,0.4123221627,0.05335879799,2778.417504,-0.4035727888,0.01313749635,171.5706139,0.2925979825,nan,0
e2.7,258.850439,384.410835,318.511052,20,10,11.11291999,0.9851725545,1.045365406,1.377599088,0.4435965357,0.00825860735,2062.37794,-0.3430279178,0.01386128624,135.822818,0.5005427335,nan,0
e2.8,608.198353,747.958363,655.311319,4,2,29.28360992,0.6310982692,0.7033982378,1.193063107,0.4306033607,-0.1337596583,2023.804575,-0.281764442,0.008740674012,181.103258,0.2297955213,0.7984955137,0
e2.9,1119.526531,1142.055505,1119.526531,0,0,55.59818493,0.4074393012,0.7493107022,1.481097604,0.4669800664,0.04036425076,1685.724195,-0.111942764,0.01169535146,236.4627024,0.1456851912,nan,0
e2.10,632.692863,678.452192,633.837933,4,2,26.71187776,0.4498676203,0.9731509964,1.904523492,0.7139703605,0.08493239484,2061.395362,-0.05289161188,0.01692010486,162.0367053,0.2893694081,0.7611388457,0
e2.11,126.938907,264.925745,201.029038,47,23.5,20.73700369,0.6513474105,0.9601548406,1.779163816,0.7766181133,-0.0470792859,2383.956932,-0.1299178776,0.01915055632,143.9956478,0.3490782227,0.7523260514,0
e2.12,762.543864,883.4293,773.230831,11,5.5,33.59846719,0.5536949215,0.6000399974,1.156114683,0.578569089,-0.3616377005,1878.743953,-0.3146901263,0.009858788361,301.5674503,0.1966072968,0.791967768,0
e2.13,839.599496,884.940839,840.81905,2,1,34.55849464,0.3714731189,0.8854831576,1.424073413,0.6526343808,-0.4601399213,1536.656554,-0.008489589589,0.009035746768,172.4010378,0.2115188379,0.7484808599,0
e2.14,203.771618,363.319356,293.939057,8,4,10.79796547,0.4143242034,0.728944211,1.304821142,0.4556564134,0.3354516927,1529.669089,0.4659352564,0.009958085319,175.8735307,0.418462521,nan,0
e2.15,457.503624,667.125482,551.494763,6,3,19.06699759,0.6037814626,0.7453307434,1.433485666,0.436151048,0.07053763159,1886.508781,-0.4044391208,0.009448507243,149.3605716,0.3239354234,0.7911211371,0
e2.16,260.297043,453.592212,352.281354,12,6,8.507759302,0.4779399683,0.9148777233,1.506699974,0.4779396734,0.2372247832,1743.201715,-0.5670229447,0.01021458907,143.2449698,0.5143137696,nan,0
e2.17,-440.328186,511.885576,466.210581,5,2.5,16.84410346,0.3006519204,0.8515107852,1.714694538,0.4259097297,0.2436155245,1706.055388,0.06975725588,0.01091992104,214.5559567,0.3452434663,0.7753271888,0
e2.18,-579.590158,725.443801,605.547037,6,3,22.12883334,0.5388211145,0.819385697,1.536382112,0.3389989854,-0.04961937149,1909.681224,-0.4202036788,0.008215588411,200.1361089,0.2992146874,nan,0
e2.19,-463.519143,540.184089,473.268515,6,3,18.10152201,0.4044168345,0.9378477735,1.504418094,0.3247928675,0.1091830503,1716.617952,-0.1124774565,0.01129145191,154.0102291,0.3340716456,nan,0
e2.20,-247.591354,386.618824,297.145045,12,6,23.49501659,0.4153325715,1.107962427,1.523339414,0.3736308717,-0.2462042076,1743.893359,-0.2499726321,0.0120653825,167.1220224,0.2962919837,0.7932651905,0
e3.1,-96.894671,182.527223,163.369284,7,3.5,1.608216047,0.4530376713,0.1104468809,0.2086850443,0.2238242822,0.8186407707,454.52621,1.412676455,0.01305642467,112.6913639,0.5829370036,0.755967589,0
e3.2,273.214201,421.0473,305.021504,16,8,10.06218273,0.5818270943,0.1633515227,0.23132416,0.2244286937,0.2456089099,1011.95574,0.385919895,0.01230485851,131.7165362,0.2454231327,nan,0
e3.3,222.480367,349.008758,259.547519,4,2,10.09966142,0.8066986124,0.1207259986,0.162240909,0.153759038,0.1628174052,1297.22724,0.6944326285,0.01087248477,143.9339621,0.2488276643,nan,0
e3.4,61.50418,149.720152,117.349935,14,7,7.139524946,0.260594556,0.05256523188,0.2205180273,0.2292402035,-0.1100193023,385.3937048,0.6182568495,0.01150488055,172.1289013,0.2096718186,nan,0
e3.5,241.657753,271.750783,243.041329,4,2,4.007330354,0.2703571635,0.07124238809,0.2122475335,0.2296794984,0.01176196271,446.3542978,-0.1069415086,0.01176341961,142.5600911,0.3182864901,nan,0
e3.6,165.417466,194.118756,166.035722,4,2,2.200363472,0.2102457439,0.0562712346,0.1547683534,0.1470307437,0.0297422132,257.8925974,0.8454713215,0.01315070361,163.5764355,0.3844514485,nan,0
e3.7,105.008996,145.984704,112.932016,14,7,1.38432084,0.2436038899,0.05452885454,0.2175699193,0.2270349444,0.03439830975,346.6230263,-0.006941555873,0.01507537941,137.0695464,0.5311495453,nan,0
e3.8,38.605428,106.055351,75.786821,13,6.5,0.9091468555,0.2503783895,0.06386462472,0.2054607735,0.2225004011,0.1096574556,339.7337186,0.07730602102,0.01758728064,107.5672441,0.6211462922,nan,0
e3.9,-33.78082,-33.78082,89.049808,26,13,0.3830524728,0.1886104489,0.0499649369,0.1424168594,0.143767105,0.1240034194,233.8188017,0.3899603986,0.02071633266,100.0401832,0.7087808252,nan,0
e3.10,-81.508282,129.476239,105.30579,15,7.5,0.8004664046,0.2163879468,0.04820358675,0.1862289806,0.2128358063,0.0657109021,319.9168366,0.1146428636,0.01763550071,140.4368536,0.613479883,nan,0
e3.11,-26.503439,105.432074,79.460581,20,10,1.457358591,0.2704196078,0.05605147803,0.2078988731,0.2159832114,0.1122893221,350.8527932,0.05703753404,0.01456158691,168.5920791,0.5263440121,nan,0
e3.12,-105.563179,135.78534,116.783509,6,3,1.056051176,0.2357042228,0.06125590875,0.1422845084,0.1458335046,-0.08317387845,247.1332952,0.2552738778,0.01782087228,116.8620821,0.5574161576,nan,0
e3.13,-107.457193,143.304217,124.739282,6,3,0.9972584788,0.2361505505,0.05698583702,0.2064116585,0.2191650547,0.1421283873,338.8591012,0.04948514016,0.01778730571,128.1234708,0.5941053734,nan,0
e3.14,-81.3096,125.322495,102.25823,20,10,0.7664174235,0.2465283389,0.05848542463,0.1995958851,0.2154397309,0.06642869993,335.3257749,-0.04298863626,0.01855180872,136.0753806,0.6439683522,nan,0
e3.15,-33.465151,104.454924,73.353424,17,8.5,0.6473259058,0.2071656762,0.05728867749,0.1403149714,0.1456965823,0.02901585116,254.2763621,0.1162926218,0.01785405387,115.3086887,0.6416323338,nan,0
e3.16,-42.939797,105.114912,78.956957,14,7,0.4980904384,0.2507838172,0.05109426688,0.2113250803,0.1987486464,-0.1204431545,330.6587089,0.08192567546,0.01976365902,111.5891111,0.7020700203,nan,0
e3.17,-72.864963,119.819446,93.65151,18,9,0.6205616454,0.2394605805,0.04468191473,0.1881506481,0.2148336232,0.03804783511,324.264149,-0.2022702832,0.01792371402,127.9858973,0.657937488,nan,0
e3.18,-61.285855,108.153182,80.863351,20,10,0.4955926671,0.2328325457,0.07448405777,0.1571033207,0.1552127505,-0.1444214175,261.4087982,0.0380620265,0.01948091934,94.75404537,0.7109996587,0.7398531319,0
e3.19,-37.585841,99.590456,71.87371,20,10,0.4640867577,0.2680797637,0.07110326565,0.2028149524,0.1753859512,0.1941858427,321.2397299,0.1595480989,0.01980101098,106.1055353,0.7302217063,nan,0
e3.20,-29.406548,99.82367,70.570516,19,9.5,0.395143531,0.2516038019,0.05321099042,0.2040119308,0.2252536717,-0.000176039741,343.3504202,0.04627843899,0.02470933317,89.9135175,0.7176826738,0.7374210292,0
e5.1,319.925483,370.043842,338.664107,4,2,9.782395809,1.234378369,0.4022041215,0.5624246469,0.3575227449,-0.4179818011,946.1442593,3.440049401,0.009102228683,139.2172951,0.4142700028,nan,1
e5.2,136.776646,279.37335,220.191407,16,8,9.380248899,1.163930834,0.3872271353,0.5604135372,0.344313818,-0.0544456756,974.1395059,1.206166375,0.01067269732,117.7497962,0.4154762653,0.7598135994,1
e5.3,28.967425,234.26445,176.092648,19,9.5,15.67683067,1.330110976,0.5469996721,0.5708144379,0.3263954496,0.08313984396,1005.013639,1.341215839,0.0104373668,108.8613415,0.3354349,nan,1
e5.4,211.786052,307.801798,251.965106,5,2.5,14.29538308,1.134551195,0.3939385869,0.5542150015,0.3329113666,-0.3659640206,1117.260265,0.8625863555,0.008183466787,144.5194846,0.3215368901,0.7828225312,1
e5.5,468.770085,557.526664,480.331829,10,5,17.45353323,1.394755792,0.4497148508,0.8516192101,0.5330072266,-0.02194175598,1478.463009,0.7663759943,0.007536514292,143.0719416,0.3353259127,nan,1
e5.6,235.255959,338.653244,288.957835,10,5,6.3820117,1.087163873,0.5113439779,0.5646862392,0.3432209254,-0.155536632,1043.594531,1.179826414,0.008688064733,117.5941292,0.5183370802,nan,1
e5.7,374.877942,426.587847,387.84535,6,3,9.699911155,1.180186124,0.4870545573,0.5721288494,0.3422996672,-0.4360286575,971.1400938,1.173334881,0.009313884295,122.9624443,0.4239463888,nan,1
e5.8,62.516469,266.198847,199.391961,21,10.5,5.172043997,1.155827815,0.5829151869,0.8892102437,0.5160792284,-0.3556481932,1288.609139,0.8532918079,0.00987958793,93.24354514,0.6182257696,nan,1
e5.9,356.946495,422.272543,3798.289606,7,3.5,10.70349415,1.144280246,0.5594583645,0.5489477345,0.3371174025,-0.6382491387,986.9107187,1.193249746,0.01005472336,121.0946477,0.4041909616,nan,1
e5.10,566.611629,614.338432,572.647852,4,2,15.79298085,1.023807503,0.5042976725,0.5418091646,0.3371153413,-0.2463662618,927.2410135,0.9385200454,0.00741018911,158.5152865,0.3038129595,nan,1
e5.11,24.173651,269.36611,202.18241,19,9.5,5.069382013,1.220503442,0.5685479376,0.8894024013,0.5161140896,-0.2017977075,1298.428112,0.680115648,0.01067475176,92.92817495,0.6252514824,nan,1
e5.12,-79.316844,209.978422,152.26976,15,7.5,2.497847721,0.9500734594,0.5287220232,0.5726091989,0.3412937325,-0.4736471242,922.2375671,0.7781629039,0.01370494528,82.01007536,0.7164642523,0.7534071149,1
e5.13,173.966935,321.304499,271.692324,4,2,4.434176615,1.031000664,0.5075078011,0.5481691102,0.3386242751,-0.3451730762,1068.788208,0.8056369465,0.01091168163,100.4174232,0.5973817411,0.7607344461,1
e5.14,149.931977,298.236075,248.086431,11,5.5,5.784418074,1.263810128,0.5533294074,0.8451053685,0.5354549241,-0.4059164112,1266.383925,0.7366424235,0.0115365905,87.65275316,0.5923828729,nan,1
e5.15,241.909024,331.894147,276.916738,7,3.5,7.671723336,1.22553538,0.4620464799,0.5513506527,0.3355214561,-0.2661565139,1045.548955,0.9406154642,0.01044148867,119.9642323,0.4769665992,nan,1
e5.16,438.634,505.866603,445.410556,4,2,14.59589631,1.242005058,0.57063162,0.5797075346,0.3303858772,-0.2607445569,1125.936526,0.8907502799,0.009506319367,112.2216429,0.3475011962,0.7508629152,1
e5.17,335.951371,391.070007,350.469416,5,2.5,11.26413094,1.082159237,0.4184492233,0.5410109821,0.3257151561,-0.3220654679,1012.147925,0.8735176793,0.009384530512,117.2884199,0.3689166706,nan,1
e5.18,-119.994002,233.792467,162.42437,12,6,6.788582309,0.8460759662,0.5823245634,0.7708109575,0.4272568019,-0.2113685261,1198.759445,0.7046234809,0.009524417636,128.6191838,0.5153182015,0.7690391273,1
e5.19,-94.81106,220.39036,164.665023,12,6,8.601325537,0.8847208553,0.4281419127,0.5647790133,0.3390788185,-0.3622750554,956.675235,1.054190543,0.009926425626,120.2037127,0.4156904125,nan,1
e5.20,-67.997931,218.785297,162.426689,15,7.5,5.915349373,0.9685949816,0.5319945964,0.5520084338,0.3371395941,-0.286667766,988.3137294,1.043984593,0.01055926315,97.6994207,0.5272067871,0.7495339244,1
e6.1,228.362399,355.258629,260.103722,3,1.5,12.47392483,4.177777889,3.754380923,2.143081673,0.3710540181,-0.3164131579,2585.154949,1.413040829,0.01268742047,164.2197332,0.7203054718,nan,0
e6.2,-619.363261,737.972212,673.745329,7,3.5,32.50537822,4.51323219,3.827871971,2.134350336,0.3487738157,0.4490086067,3088.868972,0.8141210481,0.01346525454,185.8739906,0.5056969302,nan,0
e6.3,694.801665,875.064768,719.050608,1,0.5,28.33046032,4.507394057,4.012440105,2.235866331,0.3730206355,0.1155540916,3439.455944,0.1586658477,0.009937626453,240.170756,0.5472770931,nan,0
e6.4,160.934015,716.124364,610.612545,4,2,20.39492798,4.358241229,3.80758382,2.159972551,0.3377439589,-0.0917929796,4657.187369,0.2139372981,0.01307232915,161.0835875,0.6178883457,nan,0
e6.5,-135.905969,372.203057,329.364871,5,2.5,7.710501649,4.462900384,3.878823974,2.177174608,0.3596210456,0.2416970445,2868.845357,0.2094293336,0.01695948678,125.1112099,0.7988536652,nan,0
e6.6,-20.57239,474.38588,424.408806,6,3,8.523716882,4.600243754,3.951799654,2.208933862,0.3570266901,0.4006222705,3154.192381,0.07672088563,0.0129050894,125.5391425,0.7894624567,nan,0
e6.7,-523.379609,722.409381,569.1249,8,4,34.32082942,4.863736515,4.177978783,2.291405969,0.3610025887,0.2341860848,3690.735897,0.1521636391,0.01170548164,188.4102945,0.5116279568,nan,0
e6.8,69.720725,446.181755,355.623112,5,2.5,12.62356373,4.649521924,4.020445688,2.270887895,0.3719663391,0.06129677162,3477.861238,-0.001298264294,0.01247046214,139.3811657,0.7324455787,nan,0
e6.9,157.019232,455.589588,383.225603,3,1.5,18.32775748,4.740834446,4.118157312,2.243357273,0.348001806,0.0182579551,3223.986447,0.271843481,0.01369680293,140.7030762,0.6584142765,nan,0
e6.10,789.721978,1052.584897,864.081886,3,1.5,37.22453021,5.915055925,4.447073964,2.230515126,0.3661089782,0.1089829635,4044.722542,0.3067863387,0.01052911436,148.3264092,0.513685106,nan,0
e6.11,117.444266,939.989295,664.800426,5,2.5,21.08235117,9.915104943,5.328257689,2.455003382,0.3980511993,-0.489142507,5690.508747,2.119881285,0.01183062354,124.5640956,0.6996922335,nan,0
e6.12,-897.797748,1109.073147,950.831489,8,4,44.53167989,5.511825807,3.883776849,2.210626124,0.3537631329,-0.3099868955,4173.895371,1.546758887,0.01430751293,102.2654111,0.4507604496,nan,0
e6.13,-623.049988,747.409503,673.040161,6,3,25.25895877,4.831370831,3.855641599,2.183859458,0.3505493457,-0.06888570008,3272.11022,0.283202209,0.01097806541,153.2508154,0.5768057071,0.7851044761,0
e6.14,245.248406,432.012754,316.458046,7,3.5,20.7146865,4.778792501,4.029622843,2.303252819,0.3496420201,0.4464448531,3356.227154,0.5277255518,0.01079386834,143.684334,0.6310825623,nan,0
e6.15,213.532489,433.149419,322.305432,12,6,12.77699379,4.559313969,3.792825434,2.198016717,0.3558585106,0.5545387808,3156.902633,0.5957590581,0.01388373607,113.9139097,0.7232841517,0.7900072117,0
e6.16,280.014484,480.760842,367.046183,4,2,10.7899465,4.471248943,3.975946333,2.242916804,0.3451476133,0.01487169889,2982.910321,0.05190607617,0.01204752152,170.6524209,0.7562202088,nan,0
e6.17,204.933612,439.573835,372.094838,5,2.5,9.999069398,4.613724225,4.007100921,2.29825521,0.3664104843,-0.1724068247,3151.036075,-0.1664245895,0.01291890114,130.304705,0.7711127771,0.7770804244,0
e6.18,326.704748,668.430235,389.889338,19,9.5,14.34729851,5.521296181,3.96612763,2.204819548,0.3430848039,1.520614736,3408.570686,2.319274555,0.01048416469,200.2360301,0.7150849257,0.7686643366,0
e6.19,-49.92373,650.57694,544.214714,6,3,26.13153926,4.6832527,4.170882875,2.298354318,0.359483333,0.2618902993,3880.762013,0.1357091956,0.01202249412,146.1750189,0.5760736131,0.7806893265,0
e6.20,-193.688438,817.116278,756.246303,3,1.5,20.47261774,4.786189878,4.078398078,2.277906954,0.3463115293,0.3429550653,4576.846609,-0.1816979503,0.01124970454,125.9301943,0.6341499584,0.7898831011,0
e7.1,-183.576612,276.843088,256.01458,3,1.5,4.084772348,0.1571273539,0.0898519311,0.09051443543,0.05977321678,0.4320957747,401.6832188,-0.04322556712,0.01050814651,129.4683743,0.223207732,0.7674057739,0
e7.2,-239.122137,343.060274,301.801197,11,5.5,6.892372986,0.347522435,0.1113566721,0.1054527007,0.08471508444,0.2764825509,543.3206484,0.07473813216,0.01039171012,143.4875151,0.2149885113,0.7888624538,0
e7.3,-220.6012,287.675386,223.937029,10,5,7.274102676,0.2107223868,0.1170278864,0.1717426002,0.161519137,-0.3701287615,978.6325497,-0.07814915142,0.01088130193,142.4053444,0.1995959208,nan,0
e7.4,-131.817171,166.583424,141.42067,14,7,3.196402356,0.09359272826,0.0736409518,0.1280122639,0.101205157,-0.1059347585,314.2960867,0.2777571246,0.01298361832,122.1806699,0.2470005889,nan,0
e7.5,-212.057477,234.792544,214.84088,6,3,4.057174545,0.1141950161,0.1012728223,0.1951949954,0.2455941401,0.1874941709,494.0461333,-0.276829869,0.01078453934,161.4283489,0.2693896525,0.774629341,0
e7.6,-67.129492,154.510163,121.601893,34,17,4.483199138,0.1756676422,0.0845830837,0.168950737,0.1624692793,-0.1601532326,703.1240708,0.1610056775,0.01265116142,125.9473475,0.253163862,nan,0
e7.7,-221.389173,256.611591,224.288166,8,4,7.119967163,0.3912866104,0.1184209016,0.166498313,0.1312631136,-0.3053260006,668.7735055,0.1855794972,0.01143059618,119.9164537,0.2416495458,nan,0
e7.8,-437.884664,508.580946,435.899543,2,1,20.65477035,0.7529851829,0.2892421635,0.2531597528,0.1418596511,-0.4790244181,1106.419145,0.3568597094,0.009926790281,161.1330635,0.1777253915,nan,0
e7.9,211.101196,251.029711,220.528826,22,11,5.216900695,0.2085885728,0.09065853381,0.1545297708,0.125895839,-0.8772292436,368.1074062,1.373464223,0.01332074299,193.9224332,0.233698051,0.7731978907,0
e7.10,171.816997,193.162511,183.229686,6,3,4.346433643,0.130509124,0.1385384444,0.2388759998,0.160575341,0.1022815715,442.5818722,0.2106762514,0.01386410008,126.8898713,0.2877413276,0.7635276242,0
e7.11,186.94226,205.868844,192.486236,8,4,3.939215015,0.1248029804,0.07498279824,0.1509449757,0.09807944754,-0.2263718681,363.9602922,0.2635730862,0.01527943647,118.9687821,0.2383224901,0.7347745965,0
e7.12,86.633682,123.497826,103.250557,10,5,2.471531576,0.1471529571,0.1198765979,0.2357673697,0.1762445947,0.2683229419,412.0139278,1.130684734,0.01596788885,102.8594494,0.4050563454,nan,0
e7.13,86.06863,116.441095,99.186098,16,8,1.666593583,0.1244688462,0.07273730271,0.1700388542,0.1271394395,0.1052629838,339.1523121,0.2265746518,0.01670299478,86.8713607,0.4218526177,nan,0
e7.14,124.011129,150.716453,136.176072,7,3.5,1.466915381,0.1139618436,0.06435816857,0.1583888901,0.1289821105,-0.3310107075,297.1394765,0.5104605221,0.01495058762,113.0061489,0.4315240319,nan,0
e7.15,585.109916,798.038748,598.009406,9,4.5,18.48655483,1.067805902,0.4454609134,0.2794178518,0.1767485875,0.3899018966,1266.3923,0.489344758,0.0096085952,100.9144494,0.2408276612,nan,0
e7.16,54.440046,308.217921,228.663853,12,6,11.93949934,0.330608707,0.214206187,0.1760460419,0.1252038706,0.5999357149,1350.016901,1.066400124,0.01255725127,111.0333253,0.1776781483,nan,0
e7.17,-24.647505,131.066494,99.05319,31,15.5,18.02990047,0.3607423272,0.1463189515,0.1836207323,0.1429794632,0.2201111385,628.0939556,0.9830108555,0.0131652169,114.7432335,0.1252942988,nan,0
e7.18,-306.030086,322.722074,306.030086,0,0,4.997428443,0.1351863135,0.05115589808,0.07667557591,0.06213964106,-0.02545060381,263.0876665,-0.2539425326,0.009622344092,176.0955967,0.1604284429,0.7895280263,0
e7.19,-316.203995,327.737003,316.203995,0,0,4.576213033,0.1516589294,0.07188284267,0.1639509811,0.09694438367,-0.0422945769,394.9860691,1.661342942,0.01087487186,147.6869891,0.2284326883,0.7440438524,0
e7.20,-171.478666,199.283839,176.411194,12,6,2.198112781,0.2219696952,0.1210794465,0.1084343701,0.07443509637,-0.05247502418,337.30823,-0.2721712997,0.01199076462,130.3391982,0.4002157858,nan,0
e8.1,67.353382,384.637954,312.943591,7,3.5,7.732783096,0.8112498974,0.4803593258,0.6368196678,0.3225885963,0.1669408536,1459.278384,-0.09786304421,0.007884564286,165.4653584,0.4494695894,nan,1
e8.2,0.273175,335.495249,273.821024,6,3,13.08173272,0.8013667321,0.3932393234,0.6584970901,0.3369348015,0.3504707089,1802.055865,-0.0911568299,0.009975692855,162.5033646,0.3212533651,nan,1
e8.3,-29.195338,230.807858,173.068464,17,8.5,10.17019429,0.5139030142,0.5662643103,0.9064911057,0.4281897618,0.3567109417,1427.937407,0.6985320484,0.01117580505,115.7204445,0.3925533896,nan,1
e8.4,-433.946322,525.884919,480.034945,5,2.5,13.67677974,0.6671600765,0.3904568097,0.636489564,0.3207051432,0.4090375482,1263.56784,0.4282320574,0.009817742589,177.1120495,0.2957238471,nan,1
e8.5,-228.851072,351.64301,322.880298,5,2.5,10.36815814,0.5945656377,0.3903737661,0.6248677679,0.3295756322,0.6605687346,1180.850005,1.020759086,0.009662320375,204.5059107,0.3427349846,nan,1
e8.6,-377.810066,423.811211,360.649668,8,4,18.03973306,0.7305484968,0.4048962325,0.6285960574,0.3336014442,-0.05481219263,1102.060139,0.6587071824,0.01032773954,159.3242053,0.2520323019,0.7664877956,1
e8.7,423.90928,619.219358,487.426311,6,3,13.38405798,0.7502455376,0.3490711769,0.6446704144,0.3331226668,0.2165735536,1459.714107,-0.008914074066,0.009329898595,217.4803406,0.3043143472,nan,1
e8.8,270.042394,370.691996,295.863849,9,4.5,5.397079643,0.5817760539,0.9504678831,0.8278655136,0.4430834082,0.01136491882,1194.836892,0.1248460611,0.0121771231,123.9899289,0.5867265586,0.7803448222,1
e8.9,-14.483135,215.416432,153.546656,13,6.5,2.47563588,0.5223112836,0.4043062634,0.6120846454,0.31496795,-0.377008099,929.1360804,0.6816846319,0.01393521248,77.86318235,0.6665445676,0.7478570008,1
e8.10,-152.106576,258.783104,227.361014,6,3,2.669033919,0.4386444241,0.3057900599,0.6390968389,0.3374571292,0.4899455619,872.4573449,0.3563296898,0.01049927627,182.4979584,0.620592479,nan,1
